Throttle,Aileron_left,Elevator,Rudder,Alpha,Beta,CL,CD,CMm_xcg_1.04,Cmyu
85,40,0,0,-3,0,2.853533,1.614838,1.1656299,0.746619955
85,40,0,0,0,0,3.210964,1.739795,1.16144419,0.751736572
85,40,0,0,3,0,3.418823,1.820608,1.15745686,0.755686947
85,40,0,0,6,0,4.024254,2.183609,1.21931166,0.771420806
75,40,0,0,-3,0,2.262009,1.25899,1.11384498,0.577221322
75,40,0,0,0,0,2.539059,1.321602,1.0857188,0.581490587
75,40,0,0,3,0,3.00096,1.476183,1.10041139,0.586937182
75,40,0,0,6,0,3.630162,1.827637,1.15579511,0.603116343
50,40,0,0,-3,0,1.256707,0.625706,0.94182006,0.242557173
50,40,0,0,0,0,1.590488,0.675171,0.900376754,0.246936234
50,40,0,0,3,0,1.899724,0.728426,0.821983967,0.250821041
50,40,0,0,6,0,2.236847,0.810603,0.69383986,0.258018699
25,40,0,0,-3,0,0.75161,0.287561,0.833273255,0.064252873
25,40,0,0,0,0,1.066166,0.316953,0.733939578,0.067640609
25,40,0,0,3,0,1.363403,0.360467,0.601850178,0.070867035
25,40,0,0,6,0,1.71846,0.442167,0.386854407,0.077525764
75,40,20,0,-3,0,2.325179,1.16718,-0.22551296,0.588753
75,40,20,0,0,0,2.71118,1.273389,-0.288237703,0.593185
75,40,20,0,3,0,2.986316,1.371287,-0.367169838,0.596515
75,40,20,0,6,0,3.745907,1.798637,-0.328348294,0.617458
70,40,20,0,-3,0,2.130942,1.031067,-0.280955479,0.505173
70,40,20,0,0,0,2.498041,1.124633,-0.401487441,0.509018
70,40,20,0,3,0,2.84054,1.241952,-0.396382124,0.513691
70,40,20,0,6,0,3.511665,1.605309,-0.360798215,0.533291
60,40,20,0,-3,0,1.848041,0.821835,-0.376246734,0.365799
60,40,20,0,0,0,2.154868,0.889186,-0.487538921,0.369089
60,40,20,0,3,0,2.447611,0.966213,-0.509713362,0.372816
60,40,20,0,6,0,2.940052,1.189641,-0.526726906,0.384871
75,40,10,0,-3,0,2.143852,1.130602,0.549041912,0.588365
75,40,10,0,0,0,2.505595,1.229033,0.498419481,0.592359
75,40,10,0,3,0,2.805626,1.325668,0.492223122,0.596775
75,40,10,0,6,0,3.5024,1.702871,0.551964301,0.614459
70,40,10,0,-3,0,1.954045,1.000317,0.527384264,0.504767
70,40,10,0,0,0,2.304269,1.083098,0.471837153,0.508826
70,40,10,0,3,0,2.595445,1.171793,0.474121957,0.513333
70,40,10,0,6,0,3.26957,1.500627,0.510364071,0.531061
60,40,10,0,-3,0,1.67675,0.7995,0.469604818,0.365593
60,40,10,0,0,0,1.954682,0.845877,0.41287686,0.36897
60,40,10,0,3,0,2.261604,0.917826,0.37706448,0.37255
60,40,10,0,6,0,2.767488,1.147978,0.354275817,0.386562
75,40,-10,0,-3,0,1.868769,1.15035,1.93571906,0.584084
75,40,-10,0,0,0,2.207314,1.231198,1.92974794,0.588428
75,40,-10,0,3,0,2.571062,1.344403,1.96929493,0.592926
75,40,-10,0,6,0,3.216895,1.695905,2.06324049,0.608944
70,40,-10,0,-3,0,1.668998,1.016027,1.91749465,0.501133
70,40,-10,0,0,0,1.9989,1.084336,1.90200847,0.504789
70,40,-10,0,3,0,2.330442,1.173686,1.92525721,0.509646
70,40,-10,0,6,0,2.908017,1.459957,2.1029923,0.523195
60,40,-10,0,-3,0,1.395108,0.81438,1.8630888,0.362436
60,40,-10,0,0,0,1.669291,0.858725,1.8798225,0.365732
60,40,-10,0,3,0,1.930997,0.901636,1.88037825,0.369474
60,40,-10,0,6,0,2.480611,1.144055,1.96368245,0.383486
75,40,-20,0,-3,0,1.807524,1.190725,2.46633499,0.589128
75,40,-20,0,0,0,2.126296,1.259896,2.47543433,0.592627
75,40,-20,0,3,0,2.489948,1.369703,2.50679288,0.597404
75,40,-20,0,6,0,3.072857,1.699382,2.65567254,0.615034
